Species,v,kap,kap_R,p_M,k_J,kap_G,k,g,f_tL,p_Am,w,E_m,t_0
Deltistes luxatus,0.02185,0.7209,0.95,20.66,0.002,0.8008,0.5059,,,,,,
Xyrauchen texanus,0.008598,0.8568,0.95,639.7,0.002,0.7981,,,,,,,
Erimyzon oblongus,0.01989,0.8563,0.95,18.51,0.002,0.7997,,,,,,,
Erimyzon sucetta,0.02015,0.786,0.95,18.32,0.002,0.8005,,,,,,,
Minytrema melanops,0.01987,0.8023,0.95,29.36,0.002,0.8042,,,,,,,
Hypentelium etowanum,0.0233,0.6179,0.95,23.64,0.002,0.8026,,,,,,,
Hypentelium nigricans,0.02216,0.8506,0.95,25.57,0.002,0.8017,0.4083,,,,,,
Thoburnia atripinnis,0.0231,0.6206,0.95,33.89,0.002,0.8052,,,,,,,
Thoburnia rhothoeca,0.02414,0.627,0.95,33.19,0.002,0.8015,0.3146,,,,,,
Moxostoma anisurum,0.02156,0.9493,0.95,20.88,0.002,0.8017,0.4999,,,,,,
Moxostoma carinatum,0.01003,0.8275,0.95,1134.0,0.002,0.8022,,,,,,,
Moxostoma cervinum,0.02518,0.5372,0.95,60.82,0.002,0.8048,,,,,,,
Moxostoma congestum,0.02316,0.9519,0.95,22.25,0.002,0.8046,,,,,,,
Moxostoma duquesnii,0.02348,0.85,0.95,25.4,0.002,0.8023,,,,,,,
Moxostoma erythrurum,0.02165,0.3663,0.95,22.48,0.002,0.7992,,,,,,,
Moxostoma hubbsi,0.02044,0.7422,0.95,18.06,0.002,0.8002,,,,,,,
Moxostoma macrolepidotum,0.03012,0.9495,0.95,64.63,0.002,0.8002,,,,,,,
Moxostoma poecilurum,0.01861,0.9214,0.95,390.3,0.002,0.7995,,,,,,,
Moxostoma valenciennesi,0.02004,0.9316,0.95,18.12,0.002,0.7996,0.5774,,,,,,
Cycleptus elongatus,0.02026,0.6951,0.95,18.54,0.002,0.8006,,,,,,,
Cycleptus meridionalis,0.02047,0.6902,0.95,18.66,0.002,0.8015,,,,,,,
Carpiodes carpio,0.02085,0.5391,0.95,19.03,0.002,0.7998,,,,,,,
Carpiodes cyprinus,0.02929,0.7669,0.95,22.71,0.002,0.8059,,,,,,,
Carpiodes velifer,0.02376,0.4277,0.95,24.16,0.002,0.8096,0.4279,,,,,,
Ictiobus cyprinellus,0.02562,0.9243,0.95,25.09,0.002,0.8062,,,,,,,
Ictiobus bubalus,0.02176,0.5506,0.95,18.62,0.002,0.8016,,,,,,,
Ictiobus niger,0.02027,0.685,0.95,18.07,0.002,0.7994,,,,,,,
Cobitis taenia,0.0289,0.999,0.95,16.48,0.002,0.8065,0.6295,,,,,,
Cobitis paludica,0.02188,0.802,0.95,30.98,0.002,0.808,0.3343,,,,,,
Misgurnus fossilis,0.1424,0.9005,0.95,18.61,0.002,0.8002,0.5618,,,,,,
Glaniopsis hanitschi,0.025,0.9,0.95,6.304,0.0003,0.797,0.2498,,,,,,
Barbatula barbatula,0.01665,0.8018,0.95,13.01,0.0007771,0.7969,0.3137,,,,,,
Hedinichthys yarkandensis,0.02217,0.8796,0.95,22.79,0.002,0.8026,0.4576,,,,,,
Paracobitis malapterura,0.02236,0.9895,0.95,33.04,0.002,0.8021,0.3157,,,,,,
Triplophysa anterodorsalis,0.0223,0.9461,0.95,27.53,0.002,0.8015,0.3792,,,,,,
Triplophysa rosa,0.001377,0.9674,0.95,16.12,0.002,0.7998,0.6492,,,,,,
Triplophysa scleroptera,0.02119,0.9855,0.95,21.5,0.002,0.8011,0.4858,,,,,,
Distichodus antonii,0.01798,0.9806,0.95,13.0,0.002,0.7977,,,,,,,
Alestes baremoze,0.03326,0.9615,0.95,12.5,0.002,0.8001,0.8368,,,,,,
Hydrocynus forskahlii,0.03317,0.9816,0.95,15.56,0.0008884,0.799,0.2991,,,,,,
Hydrocynus vittatus,0.0564,0.6982,0.95,5.766,0.0003051,0.7992,0.277,,,,,,
Hoplias malabaricus,0.08571,0.9996,0.95,314.0,0.002,0.8002,,,,,,,
Colossoma macropomum,0.01559,0.986,0.95,15.06,0.0008425,0.7995,0.2927,,,,,,
Myloplus rhomboidalis,0.02418,0.5761,0.95,13.87,0.002,0.8018,0.7525,,,,,,
Piaractus brachypomus,0.04856,0.9993,0.95,19.84,0.002,0.8031,0.5251,,,,,,
Piaractus mesopotamicus,0.02512,0.813,0.95,25.33,0.002,0.8008,0.4126,,,,,,
Pygocentrus nattereri,0.01648,0.9377,0.95,14.46,0.002,0.7989,,,,,,,
Serrasalmus spilopleura,0.02155,0.6694,0.95,19.78,0.002,0.7999,,,,,,,
Prochilodus lineatus,0.02407,0.7776,0.95,14.18,0.002,0.7987,0.7388,,,,,,
Prochilodus nigricans,0.02002,0.9345,0.95,17.51,0.002,0.7999,0.5976,,,,,,
Semaprochilodus taeniurus,0.06671,0.9998,0.95,33.68,0.002,0.8017,,,,,,,
Semaprochilodus insignis,0.06382,0.9998,0.95,35.12,0.002,0.8021,,,,,,,
Curimata knerii,0.03022,0.9354,0.95,165.9,0.002,0.7999,0.06306,,,,,,
Cyphocharax voga,0.01726,0.7932,0.95,17.48,0.002,0.7999,0.5985,,,,,,
Potamorhina latior,0.02386,0.8526,0.95,310.5,0.002,0.8,0.03368,,,,,,
Leporinus acutidens,0.01978,0.7792,0.95,16.99,0.002,0.8003,0.6154,,,,,,
Leporinus friderici,0.01764,0.9507,0.95,20.48,0.002,0.8044,0.5079,,,,,,
Megaleporinus obtusidens,0.02231,0.86,0.95,26.26,0.002,0.8021,0.3973,,,,,,
Schizodon intermedius,0.01228,0.7012,0.95,16.87,0.002,0.799,0.6208,,,,,,
Brycon amazonicus,0.05908,0.9997,0.95,27.05,0.002,0.8011,0.3861,,,,,,
Brycon melanopterus,0.01818,0.4424,0.95,239.4,0.002,0.8005,0.04366,,,,,,
Brycon moorei,0.03693,0.9506,0.95,515.4,0.002,0.8019,0.02025,,,,,,
Brycon opalinus,0.07589,0.9997,0.95,20.07,0.002,0.8003,0.5209,,,,,,
Salminus brasiliensis,0.02058,0.4905,0.95,31.5,0.002,0.8023,0.3312,,,,,,
Astyanax bimaculatus,0.02063,0.9846,0.95,17.53,0.002,0.7996,0.597,,,,,,
Astyanax eigenmanniorum,0.0216,0.9704,0.95,24.82,0.002,0.8021,0.4203,,,,,,
Astyanax mexicanus,0.02128,0.9943,0.95,59.72,0.002,0.803,,,,,,,
Gymnocharacinus bergii,0.01754,0.9918,0.95,1077.0,0.002,0.7995,,,,,,,
Hyphessobrycon pulchripinnis,0.02583,0.7929,0.95,258.2,0.002,0.8,,,,,,,
Moenkhausia dichroura,0.08856,0.9998,0.95,35.72,0.002,0.8018,,,,,,,
Moenkhausia pittieri,0.01994,0.8376,0.95,21.56,0.002,0.8012,0.4844,,,,,,
Odontostilbe paraguayensis,0.02216,0.5597,0.95,28.82,0.002,0.802,0.362,,,,,,
Oligosarcus hepsetus,0.02159,0.9427,0.95,22.1,0.002,0.7983,0.4743,,,,,,
Oligosarcus jenynsii,0.02022,0.8501,0.95,13.2,0.002,0.7986,0.794,,,,,,
Paracheirodon innesi,0.02184,0.5638,0.95,92.78,0.002,0.8016,0.1125,,,,,,
Triportheus albus,0.01589,0.7291,0.95,6059.0,0.002,0.7995,0.001728,,,,,,
Triportheus angulatus,0.01824,0.8517,0.95,19260.0,0.002,0.7999,0.0005432,,,,,,
Triportheus elongatus,0.01747,0.7992,0.95,18280.0,0.002,0.8,0.0005722,,,,,,
Electrophorus electricus,0.01233,0.9782,0.95,17.94,0.002,0.8046,,,,,,,
Gymnotus carapo,0.01971,0.9708,0.95,16.81,0.002,0.8003,0.6219,,,,,,
Apteronotus leptorhynchus,0.02055,0.9902,0.95,15.38,0.002,0.7995,,,,,,,
Corydoras aeneus,0.05977,0.9824,0.95,112.5,0.002,0.801,,,,,,,
Loricariichthys anus,0.03132,0.9866,0.95,30.16,0.002,0.8016,0.3461,,,,,,
Pterygoplichthys disjunctivus,0.01791,0.9065,0.95,14.52,0.0008067,0.8012,0.2901,,,,,,
Rhinelepis aspera,0.01586,0.5756,0.95,18.76,0.002,0.8002,0.5573,,,,,,
Rineloricaria latirostris,0.0189,0.9599,0.95,16.81,0.002,0.8018,0.6207,,,,,,
Eremophilus mutisii,0.04614,0.9849,0.95,73.44,0.002,0.8011,0.1422,,,,,,
Liobagrus marginatus,0.03004,0.9505,0.98,18.81,0.002,0.7987,0.557,,,,,,
Horabagrus brachysoma,0.02536,0.7841,0.98,56.54,0.002,0.8014,0.1847,,,,,,
Bagarius yarrelli,0.02536,0.9107,0.98,17.81,0.002,0.8,0.5874,,,,,,
Creteuchiloglanis macropterus,0.02006,0.9135,0.98,18.03,0.002,0.8008,0.5798,,,,,,
Euchiloglanis kishinouyei,0.0269,0.8492,0.95,67.6,0.002,0.8015,0.1544,,,,,,
Glyptosternon maculatum,0.01978,0.7019,0.95,24.21,0.002,0.8004,0.4319,,,,,,
Glyptothorax fokiensis,0.02097,0.9314,0.98,19.09,0.002,0.8002,0.5478,,,,,,
Glyptothorax macromaculatus,0.02961,0.961,0.98,12.9,0.002,0.7988,0.8124,,,,,,
Oreoglanis setiger,0.02222,0.9756,0.98,17.98,0.002,0.8,0.5819,,,,,,
Pterodoras granulosus,0.02268,0.9717,0.95,26.81,0.002,0.7988,0.3907,,,,,,
Synodontis clarias,0.02022,0.9533,0.95,16.69,0.002,0.8,0.6268,,,,,,
Malapterurus electricus,0.0356,0.8306,0.95,18.05,0.002,0.7999,0.5798,,,,,,
Silurus glanis,0.02116,0.8507,0.95,18.16,0.002,0.7999,,,,,,,
Wallago attu,0.03057,0.9758,0.95,20.72,0.002,0.8,0.5049,,,,,,
Clarias anguillaris,0.02496,0.8689,0.95,390.3,0.002,0.8018,0.02674,,,,,,
Clarias gariepinus,0.06634,0.9402,0.95,190.8,0.002,0.8011,,,,,,,
Clarias gariepinus x Heterobranchus longifilis,0.1454,0.9991,0.95,92.26,0.002,0.8013,,,,,,,
Heterobranchus longifilis,0.05879,0.9836,0.95,464.3,0.002,0.7989,,,,,,,
Heterobranchus longifilis x Clarius gariepinus,0.114,0.9981,0.95,113.3,0.002,0.8009,,,,,,,
Cnidoglanis macrocephalus,0.02548,0.5339,0.95,30.98,0.002,0.8029,0.3364,,,,,,
Plotosus lineatus,0.01989,0.9876,0.95,30.03,0.001669,0.8057,0.2885,,,,,,
Tandanus tandanus,0.0791,0.9218,0.95,28.95,0.002,0.802,0.3604,,,,,,
Heteropneustes fossilis,0.03254,0.9743,0.95,32.26,0.002,0.8035,0.3229,,,,,,
Ailia coila,0.01946,0.9404,0.98,14.63,0.002,0.7989,0.7161,,,,,,
Clupisoma garua,0.01699,0.9103,0.98,37.35,0.002,0.7991,0.2804,,,,,,
Clupisoma sinense,0.02152,0.937,0.98,19.7,0.002,0.8033,0.5287,,,,,,
Ariopsis felis,0.009248,0.9579,0.95,11.01,0.0006268,0.7991,0.298,,,,,,
Bagre marinus,0.01765,0.8516,0.95,33.97,0.002,0.8013,0.3074,,,,,,
Genidens barbus,0.002106,0.4124,0.95,11.18,0.00188,0.7996,0.8794,,,,,,
Netuma bilineata,0.01942,0.9714,0.95,8.314,0.0004847,0.7985,0.3055,,,,,,
Netuma thalassina,0.02001,0.9907,0.95,7.426,0.0004251,0.7915,0.3026,,,,,,
Osteogeneiosus militaris,0.01733,0.9463,0.95,14.74,0.002,0.8023,0.7078,,,,,,
Plicofollis dussumieri,0.01201,0.9419,0.95,16.61,0.0009585,0.7985,0.3023,,,,,,
Plicofollis layardi,0.0153,0.8272,0.95,12.77,0.0007281,0.7964,0.2995,,,,,,
Sciades proops,0.01869,0.8756,0.95,16.74,0.0009621,0.7995,0.3007,,,,,,
Austroglanis barnardi,0.02252,0.9796,0.98,24.19,0.002,0.8011,0.4318,,,,,,
Austroglanis gilli,0.02159,0.9648,0.98,71.19,0.002,0.799,0.1471,,,,,,
Bagrus meridionalis,0.01999,0.8927,0.95,10.43,0.0006198,0.7968,0.3121,,,,,,
Hemibagrus baramensis,0.025,0.9,0.95,18.73,0.002,0.8009,0.5578,,,,,,
Hemibagrus pluriradiatus,0.02176,0.9349,0.98,18.33,0.002,0.7995,0.5711,,,,,,
Pseudobagrus vachellii,0.02307,0.9839,0.95,16.93,0.002,0.7974,0.6199,,,,,,
Rita rita,0.02996,0.8658,0.95,10.85,0.002,0.8023,0.9614,,,,,,
Chrysichthys auratus,0.01914,0.9737,0.95,17.59,0.002,0.8005,0.5945,,,,,,
Chrysichthys nigrodigitatus,0.02487,0.9832,0.95,28.33,0.002,0.8021,0.3682,,,,,,
Chrysichthys walkeri,0.02314,0.9931,0.95,86.07,0.002,0.8119,0.1197,,,,,,
Pimelodella kronei,0.02271,0.9963,0.98,714.1,0.002,0.8012,0.01463,,,,,,
Pangasianodon hypophthalmus,0.1003,0.45,0.95,27.93,0.002,0.8009,,,,,,,
Brachyplatystoma rousseauxii,0.01553,0.7675,0.95,236.1,0.002,0.8009,0.04425,,,,,,
Hemisorubim platyrhynchos,0.01918,0.8207,0.95,18.19,0.002,0.8002,0.5751,,,,,,
Hypophthalmus edentatus,0.01754,0.9727,0.95,56.12,0.002,0.8026,0.1858,,,,,,
Iheringichthys labrosus,0.0203,0.956,0.95,16.81,0.002,0.8,0.6221,,,,,,
Pseudoplatystoma corruscans,0.01952,0.9963,0.95,14.76,0.002,0.7999,0.709,,,,,,
Pseudoplatystoma orinocoense,0.01379,0.7027,0.95,12.27,0.002,0.7992,0.8531,,,,,,
Pseudoplatystoma reticulatum,0.01447,0.8981,0.95,159.3,0.002,0.7984,0.0658,,,,,,
Sorubim lima,0.02111,0.8659,0.95,19.7,0.002,0.8015,0.5301,,,,,,
Lophiosilurus alexandri,0.03531,0.9706,0.98,25.95,0.002,0.8006,0.4028,,,,,,
Eutropiichthys vacha,0.03041,0.9672,0.98,52.37,0.002,0.8008,0.1995,,,,,,
Schilbe intermedius,0.019,0.996,0.95,20.8,0.002,0.8006,0.5025,,,,,,
Schilbe mystus,0.01064,0.9645,0.95,25.11,0.002,0.8023,0.4154,,,,,,
Cranoglanis bouderius,0.01774,0.9157,0.98,22.26,0.002,0.8027,0.4684,,,,,,
Cranoglanis multiradiatus,0.01863,0.987,0.95,27.59,0.002,0.8036,0.3774,,,,,,
Ictalurus furcatus,0.01899,0.5681,0.95,9.071,0.0004019,0.7979,0.3021,,,,,,
Ictalurus furcatus JR,0.03487,0.6716,0.95,14.76,0.0009796,0.7807,0.4623,,,,,,
Ictalurus punctatus,0.0538,0.9944,0.95,50.92,0.002,0.7379,,,,,,,
Pylodictis olivaris,0.02479,0.9505,0.95,17.16,0.002,0.7985,,,,,,,
Ameiurus melas,0.06726,0.9869,0.95,10.05,0.0005804,0.7967,0.3034,,,,,,
Ameiurus natalis,0.02121,0.9453,0.95,34.15,0.002,0.8058,,,,,,,
Ameiurus nebulosus,0.02354,0.9616,0.95,22.65,0.002,0.8018,,,,,,,
Noturus albater,0.02594,0.7664,0.95,159.6,0.002,0.8016,,,,,,,
Noturus baileyi,0.07311,0.8831,0.95,23.99,0.002,0.8039,,,,,,,
Noturus eleutherus,0.01937,0.4894,0.95,19.11,0.002,0.8019,,,,,,,
Noturus exilis,0.09979,0.5857,0.95,34.53,0.002,0.8031,,,,,,,
Noturus flavipinnis,0.01974,0.9168,0.95,20.96,0.002,0.8007,,,,,,,
Noturus flavus,0.039,0.993,0.95,119.3,0.002,0.7994,,,,,,,
Noturus funebris,0.03446,0.8197,0.95,19.93,0.002,0.8005,,,,,,,
Noturus gyrinus,0.007879,0.9798,0.95,98.28,0.002,0.8017,,,,,,,
Noturus hildebrandi,0.02464,0.566,0.95,103.5,0.002,0.8012,,,,,,,
Noturus insignis,0.03306,0.9591,0.95,245.6,0.002,0.7953,,,,,,,
Noturus lachneri,0.01956,0.928,0.95,159.6,0.002,0.8006,,,,,,,
Noturus miurus,0.01962,0.9348,0.95,562.4,0.002,0.8001,0.0186,,,,,,
Noturus munitus,0.01963,0.93,0.95,17.21,0.002,0.7996,,,,,,,
Noturus nocturnus,0.02128,0.7944,0.95,20.52,0.002,0.8013,,,,,,,
Noturus phaeus,0.08882,0.9394,0.95,18.85,0.002,0.8003,,,,,,,
Noturus stigmosus,0.0227,0.952,0.95,511.3,0.002,0.7994,,,,,,,
Lepidogalaxias salamandroides,0.02487,0.9007,0.95,56.28,0.002,0.8015,0.1855,,,,,,
Argentina silus,0.02077,0.7664,0.95,20.4,0.002,0.8004,,,,,,,
Argentina sphyraena,0.02077,0.9655,0.95,270.8,0.002,0.8004,0.0386,,,,,,
Glossanodon semifasciatus,0.02077,0.9515,0.95,47.26,0.002,0.8015,0.2209,,,,,,
Pseudobathylagus milleri,0.02392,0.95,0.95,156.8,0.002,0.8012,,,,,,,
Leuroglossus stilbius,0.02393,0.95,0.95,59.64,0.002,0.8028,,,,,,,
Galaxias paucispondylus,0.02107,0.7983,0.95,23.08,0.002,0.8009,,,,,,,
Galaxias prognathus,0.02257,0.8155,0.95,40.35,0.002,0.8017,0.2587,,,,,,
Galaxias maculatus,0.02094,0.7192,0.95,22.04,0.002,0.8015,,,,,,,
Coregonus albula,0.02152,0.9029,0.95,23.66,0.002,0.8009,,,,,,,
Coregonus artedi,0.02529,0.8792,0.95,33.57,0.002,0.8022,,,,,,,
Coregonus autumnalis,0.02412,0.7707,0.95,40.78,0.002,0.8017,,,,,,,
Coregonus clupeaformis,0.02113,0.9529,0.95,24.14,0.002,0.8003,,,,,,,
Coregonus hoyi,0.02366,0.7833,0.95,33.24,0.002,0.8018,0.314,,,,,,
Coregonus kiyi,0.0115,0.5303,0.95,251.3,0.002,0.8037,0.04144,,,,,,
Coregonus laurettae,0.0246,0.6473,0.95,108.1,0.002,0.7993,,,,,,,
Coregonus lavaretus,0.02017,0.4456,0.95,18.04,0.002,0.7991,,,,,,,
Coregonus nasus,0.02553,0.4691,0.95,75.56,0.002,0.8004,,,,,,,
Coregonus pidschian,0.02367,0.4819,0.95,42.5,0.002,0.8029,,,,,,,
Coregonus reighardi,0.02805,0.7567,0.95,339.0,0.002,0.7998,,,,,,,
Coregonus sardinella,0.02705,0.5666,0.95,31.78,0.002,0.8009,,,,,,,
Coregonus zenithicus,0.02238,0.4955,0.95,58.5,0.002,0.8031,,,,,,,
Prosopium abyssicola,0.02818,0.9204,0.95,1187.0,0.002,0.7984,,,,,,,
Prosopium coulterii,0.02299,0.8455,0.95,24.95,0.002,0.8007,,,,,,,
Prosopium cylindraceum,0.04094,0.7647,0.95,49.45,0.002,0.8015,,,,,,,
Prosopium gemmifer,0.01889,0.9179,0.95,645.5,0.002,0.8035,,,,,,,
Prosopium spilonotus,0.02359,0.9087,0.95,1771.0,0.002,0.8025,,,,,,,
Prosopium williamsoni,0.04877,0.9357,0.95,72.95,0.002,0.8001,,,,,,,
Stenodus leucichthys,0.02141,0.4606,0.95,18.34,0.002,0.8005,,,,,,,
Thymallus arcticus,0.02041,0.8447,0.95,16.9,0.002,0.7977,,,,,,,
Thymallus thymallus,0.1542,0.3881,0.95,85.29,0.002,0.804,,,,,,,
Thymallus tugarinae,0.02026,0.9308,0.95,209.9,0.002,0.8008,,,,,,,
Oncorhynchus clarkii stomias,0.0585,0.7215,0.95,57.89,0.002,0.8011,,,,,,,
Oncorhynchus gilae,0.06274,0.9603,0.95,68.29,0.002,0.8022,,,,,,,
Oncorhynchus gorbuscha,0.06262,0.9789,0.95,499.9,0.002,0.8009,,,,,,,
Oncorhynchus keta,0.04512,0.8723,0.95,117.4,0.002,0.7994,,,,,,,
Oncorhynchus kisutch,0.04941,0.9428,0.95,597.1,0.002,0.8027,,,,,,,
Oncorhynchus mykiss,0.03245,0.6192,0.95,343.9,0.002,0.7943,,,,,,,
Oncorhynchus nerka,0.09736,0.9758,0.95,52.38,0.002,0.8107,,,,,,,
Oncorhynchus tshawytscha,0.08592,0.5701,0.95,21.44,0.001404,0.7949,,,,,,,
Salmo trutta,0.2191,0.9681,0.95,80.76,0.002,0.8005,,,,,,,
Salmo salar,0.02978,0.4175,0.95,13.95,0.002,0.8327,0.7204,,,,,,
Salvelinus alpinus,0.04863,0.9636,0.95,64.46,0.002,0.8012,,,,,,,
Salvelinus curilus,0.03097,0.994,0.95,38.49,0.002,0.8092,,,,,,,
Salvelinus fontinalis,0.02662,0.9361,0.95,77.17,0.002,0.801,,,,,,,
Salvelinus leucomaenis,0.01983,0.9907,0.95,17.52,0.002,0.7994,0.5977,,,,,,
Salvelinus malma,0.03093,0.9947,0.95,28.4,0.002,0.8019,,,,,,,
Salvelinus namaycush,0.02438,0.989,0.95,35.57,0.002,0.7995,,,,,,,
Salvelinus willoughbii,0.04487,0.96,0.95,77.02,0.002,0.8011,0.1356,,,,,,
Esox americanus,0.03371,0.8416,0.95,46.39,0.001999,0.8016,,,,,,,
Esox lucius,0.02322,0.9282,0.95,51.77,0.002,0.8,0.2021,,,,,,
Esox masquinongy,0.08651,0.6788,0.95,28.73,0.001985,0.8012,,,,,,,
Esox niger,0.2539,0.9213,0.95,18.45,0.001999,0.8,,,,,,,
Dallia pectoralis,0.03931,0.9479,0.95,62.61,0.002,0.8015,,,,,,,
Umbra limi,0.131,0.9075,0.95,26.14,0.001987,0.8013,,,,,,,
Umbra pygmaea,0.0246,0.5362,0.95,26.35,0.001949,0.8012,,,,,,,
Umbra krameri,0.03552,0.7801,0.95,16.44,0.002,0.7988,,,,,,,
Hypomesus nipponensis,0.03435,0.844,0.95,565.4,0.002,0.8,,,,,,,
Hypomesus olidus,0.02261,0.9283,0.95,24.03,0.002,0.801,0.4348,,,,,,
Mallotus villosus,0.03198,0.9184,0.95,51.53,0.002,0.802,,,,,,,
Osmerus dentex,0.02471,0.8999,0.95,1356.0,0.002,0.8004,0.007708,,,,,,
Osmerus eperlanus,0.01967,0.9808,0.95,728.9,0.002,0.8009,,,,,,,
Osmerus mordax,0.02884,0.9522,0.95,60.84,0.002,0.8015,,,,,,,
Spirinchus thaleichthys,0.02208,0.7054,0.95,2915.0,0.002,0.8,,,,,,,
Thaleichthys pacificus,0.02367,0.8631,0.95,1253.0,0.002,0.8,,,,,,,
Retropinna semoni,0.02107,0.9286,0.95,35.88,0.002,0.8024,,,,,,,
Sigmops elongatus,0.00126,0.58,0.95,7.374,0.002,0.7978,1.422,,,,,,
Vinciguerria nimbaria,0.02105,0.6072,0.95,167.2,0.002,0.801,,,,,,,
Maurolicus imperatorius,0.02223,0.58,0.95,90.38,0.002,0.8014,,,,,,,
Maurolicus muelleri,0.02171,0.5844,0.95,39.16,0.002,0.802,,,,,,,
Maurolicus stehmanni,0.01927,0.9009,0.95,194.5,0.002,0.7845,0.05483,,,,,,
Borostomias panamensis,0.02095,0.95,0.95,162.5,0.002,0.8005,,,,,,,
Tactostoma macropus,0.02553,0.3723,0.95,392.5,0.002,0.802,0.02658,,,,,,
Harpadon nehereus,0.02328,0.9677,0.95,417.5,0.002,0.7999,,,,,,,
Saurida tumbil,0.01935,0.9893,0.95,16.14,0.002,0.8003,0.6478,,,,,,
Saurida undosquamis,0.01621,0.8752,0.95,14.79,0.002,0.7994,0.7079,,,,,,
Synodus saurus,0.02119,0.8186,0.95,16.99,0.002,0.7997,0.6159,,,,,,
Bathypterois dubius,0.02075,0.8193,0.475,22.63,0.002,0.8009,,,,,,,
Chlorophthalmus agassizi,0.02397,0.9434,0.475,58.15,0.002,0.8011,,,,,,,
Diaphus dumerilii,0.0402,0.95,0.95,303.4,0.002,0.8045,,,,,,,
Diaphus suborbitalis,0.0292,0.95,0.95,87.03,0.002,0.826,0.1164,,,,,,
Diaphus theta,0.02063,0.95,0.95,148.0,0.002,0.8008,,,,,,,
Diaphus watasei,0.01752,0.9648,0.95,178.1,0.002,0.8018,0.0586,,,,,,
Gymnoscopelus braueri,0.02107,0.8384,0.95,119.7,0.002,0.8007,0.08727,,,,,,
Lampanyctodes hectoris,0.02909,0.9254,0.99,1048.0,0.002,0.806,,,,,,,
Notoscopelus elongatus,0.02285,0.95,0.95,56.47,0.002,0.8016,,,,,,,
Notoscopelus kroyeri,0.02569,0.95,0.95,105.1,0.002,0.8004,0.09946,,,,,,
Notoscopelus resplendens,0.02193,0.9,0.99,429.2,0.002,0.8003,0.02436,,,,,,
Scopelopsis multipunctatus,0.02569,0.95,0.95,246.9,0.002,0.8005,0.04234,,,,,,
Ceratoscopelus maderensis,0.02514,0.6904,0.95,694.4,0.002,0.8002,0.01506,,,,,,
Ceratoscopelus warmingii,0.02062,0.95,0.95,1782.0,0.002,0.8001,0.00587,,,,,,
Lampanyctus crocodilus,0.02569,0.9,0.95,19.37,0.002,0.8003,0.5397,,,,,,
Lampanyctus regalis,0.02569,0.9,0.95,90.74,0.002,0.8019,0.115,,,,,,
Lampanyctus ritteri,0.02569,0.9,0.95,58.47,0.002,0.8019,0.1785,,,,,,
Lepidophanes guentheri,0.02415,0.9794,0.95,173.6,0.002,0.8008,,,,,,,
Stenobrachius leucopsarus,0.01478,0.95,0.95,160.8,0.002,0.8011,,,,,,,
Triphoturus mexicanus,0.0228,0.95,0.95,73.93,0.002,0.8017,,,,,,,
Benthosema fibulatum,0.02235,0.95,0.95,277.2,0.002,0.8007,0.03771,,,,,,
Benthosema glaciale,0.02169,0.95,0.95,37.68,0.002,0.8019,,,,,,,
Benthosema pterotum,0.1245,0.95,0.95,43.57,0.002,0.8021,,,,,,,
Benthosema suborbitale,0.03579,0.9904,0.95,474.5,0.002,0.8013,,,,,,,
Electrona antarctica,0.01686,0.9,0.99,427.1,0.002,0.801,0.02446,,,,,,
Electrona carlsbergi,0.02569,0.9,0.95,252.2,0.002,0.8003,0.04146,,,,,,
Krefftichthys anderssoni,0.01682,0.9782,0.95,1387.0,0.002,0.7989,0.007554,,,,,,
Myctophum affine,0.02366,0.757,0.95,37.79,0.002,0.8032,0.2757,,,,,,
Myctophum asperum,0.02078,0.95,0.95,1830.0,0.002,0.7999,,,,,,,
Myctophum nitidulum,0.02569,0.9987,0.95,34.71,0.002,0.802,0.3006,,,,,,
Myctophum punctatum,0.02569,0.9982,0.95,27.01,0.002,0.8013,0.3866,,,,,,
Protomyctophum arcticum,0.02198,0.9519,0.95,130.0,0.002,0.7996,0.08051,,,,,,
Symbolophorus californiensis,0.02111,0.95,0.95,1171.0,0.002,0.8012,,,,,,,
Tarletonbeania crenularis,0.02171,0.95,0.95,161.6,0.002,0.8008,,,,,,,
Lampris guttatus,0.02115,0.5,0.95,310.9,0.002,0.7999,,,,,,,
Percopsis omiscomaycus,0.04108,0.7186,0.95,13.0,0.002,0.7986,,,,,,,
Percopsis transmontana,0.02592,0.4462,0.95,48.0,0.002,0.8018,,,,,,,
Chologaster cornuta,0.02171,0.9931,0.95,763.4,0.002,0.8001,,,,,,,
Forbesichthys agassizii,0.02431,0.9488,0.95,185.5,0.002,0.8005,,,,,,,
Typhlichthys subterraneus,0.02454,0.9283,0.95,45.34,0.002,0.8018,,,,,,,
Amblyopsis spelaea,0.02183,0.9019,0.95,24.15,0.002,0.8011,,,,,,,
Amblyopsis rosae,0.02192,0.9448,0.95,26.79,0.002,0.8015,,,,,,,
Aphredoderus sayanus,0.03429,0.9997,0.95,233.3,0.002,0.8004,,,,,,,
Cyttus traversi,0.02516,0.8112,0.95,21.52,0.002,0.8006,0.4857,,,,,,
Allocyttus niger,0.02886,0.5611,0.95,66.97,0.002,0.8041,0.1554,,,,,,
Allocyttus verrucosus,0.02886,0.5008,0.95,22.34,0.002,0.8007,0.4677,,,,,,
Pseudocyttus maculatus,0.03468,0.5882,0.95,27.5,0.002,0.801,0.3799,,,,,,
Zeus faber,0.02056,0.8901,0.95,15.13,0.002,0.7981,0.6931,,,,,,
